,OID_,AHA_ID_lon,AHA_ID_lat,ZIP_lon,ZIP_lat,GIS_ID,Google Map,Bing Map,ESRI,OSRM
6010,3127,-73.91651806999998,42.81997773,-72.605400453,42.376239033,3127,113.43333333333334,109.7667,117.13012960361718,143.99666666666664
5333,988,-72.68278784,41.75384063,-72.967189321,42.293923206,988,76.96666666666667,72.7833,84.36433677944086,92.51
7678,1701,-74.21249992,40.70932005,-72.58532499999998,42.15852,1701,170.98333333333332,158.2333,194.62996530488303,205.22333333333333
